Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,School
Jaden Akins,G,37,37,27.2,4.8,11.9,0.398,1.6,5.4,0.293,3.2,6.6,0.484,0.464,1.7,2.3,0.762,0.6,2.9,3.5,1.5,0.8,0.3,1.1,1.4,12.8,michigan-state
Jase Richardson,G,36,15,25.3,4.0,8.1,0.493,1.3,3.2,0.412,2.7,4.9,0.545,0.574,2.8,3.4,0.836,0.6,2.7,3.3,1.9,0.8,0.3,0.8,1.5,12.1,michigan-state
Tre Holloman,G,37,16,23.1,3.1,8.2,0.373,1.3,3.9,0.329,1.8,4.2,0.414,0.452,1.7,2.0,0.851,0.2,1.7,1.9,3.7,0.8,0.2,1.6,1.7,9.1,michigan-state
Coen Carr,F,37,1,20.7,3.1,5.0,0.611,0.1,0.4,0.333,2.9,4.6,0.635,0.624,1.8,2.6,0.701,1.5,2.1,3.6,0.5,0.5,0.7,0.9,1.1,8.1,michigan-state
Jaxon Kohler,F,37,34,20.8,3.0,5.8,0.519,0.5,1.4,0.373,2.5,4.5,0.564,0.563,1.2,1.5,0.821,2.5,4.9,7.5,1.3,0.4,0.8,1.3,1.8,7.8,michigan-state
Jeremy Fears Jr.,G,36,36,23.7,2.0,5.0,0.397,0.4,1.1,0.342,1.6,3.9,0.411,0.433,2.9,3.9,0.73,0.3,1.8,2.1,5.4,1.1,0.2,2.0,2.3,7.2,michigan-state
Frankie Fidler,F,37,7,16.2,2.2,5.5,0.39,0.4,1.8,0.197,1.8,3.8,0.482,0.422,2.4,2.7,0.861,0.8,2.5,3.3,0.8,0.5,0.2,0.6,1.1,7.0,michigan-state
Carson Cooper,C,37,0,17.2,1.7,2.9,0.598,0.0,0.0,0.0,1.7,2.9,0.604,0.598,1.6,2.1,0.744,1.5,3.7,5.2,0.6,0.2,0.6,0.8,2.2,5.0,michigan-state
Xavier Booker,F,33,3,12.8,1.8,4.2,0.417,0.5,2.2,0.233,1.2,2.0,0.621,0.478,0.7,0.8,0.786,0.7,1.5,2.2,0.2,0.1,0.7,0.9,1.2,4.7,michigan-state
Szymon Zapala,C,36,36,14.1,1.7,2.6,0.653,0.0,0.1,0.0,1.7,2.6,0.667,0.653,0.8,1.2,0.659,1.6,2.4,4.0,0.6,0.3,0.6,0.9,2.3,4.3,michigan-state
Nick Sanders,G,10,0,1.2,0.4,0.7,0.571,0.0,0.2,0.0,0.4,0.5,0.8,0.571,0.0,0.0,,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.8,michigan-state
Gehrig Normand,G,13,0,2.0,0.2,0.6,0.375,0.2,0.5,0.333,0.1,0.2,0.5,0.5,0.0,0.0,,0.1,0.0,0.1,0.2,0.0,0.0,0.1,0.3,0.6,michigan-state
Kur Teng,G,19,0,3.1,0.2,0.7,0.214,0.1,0.5,0.222,0.1,0.3,0.2,0.286,0.1,0.1,1.0,0.2,0.5,0.7,0.2,0.1,0.0,0.2,0.4,0.5,michigan-state
Derik Queen,C,36,36,30.4,5.8,11.1,0.526,0.2,1.0,0.2,5.6,10.1,0.558,0.535,4.6,6.1,0.766,2.3,6.6,9.0,1.9,1.1,1.1,2.4,2.1,16.5,maryland
Ja'Kobi Gillespie,G,36,36,31.6,5.0,11.0,0.453,2.4,5.9,0.407,2.6,5.1,0.508,0.563,2.3,2.6,0.862,0.5,2.2,2.8,4.8,1.9,0.1,1.9,1.9,14.7,maryland
Rodney Rice,G,36,32,31.1,4.6,10.7,0.434,2.2,5.9,0.374,2.4,4.8,0.509,0.538,2.3,2.8,0.814,0.6,1.6,2.2,2.1,0.7,0.1,1.1,1.6,13.8,maryland
Julian Reese,F,36,36,28.5,4.9,8.9,0.555,0.0,0.0,0.0,4.9,8.8,0.557,0.555,3.4,4.7,0.734,3.0,6.1,9.0,1.3,1.1,1.5,1.5,2.6,13.3,maryland
Selton Miguel,G,36,36,28.3,4.3,9.8,0.432,2.1,4.9,0.424,2.2,4.9,0.441,0.538,1.1,1.4,0.745,0.2,1.7,1.9,1.8,1.0,0.2,0.9,1.7,11.6,maryland
Tafara Gapare,F,32,0,10.3,1.2,2.6,0.47,0.4,1.1,0.371,0.8,1.5,0.542,0.548,0.6,0.9,0.621,0.4,1.5,1.9,0.2,0.4,0.8,0.5,1.3,3.4,maryland
DeShawn Harris-Smith,G,36,4,15.4,0.9,2.4,0.395,0.2,0.8,0.2,0.8,1.6,0.5,0.43,0.4,0.8,0.5,0.4,1.9,2.4,1.0,0.4,0.0,0.7,1.5,2.5,maryland
Jordan Geronimo,F,30,0,9.8,1.1,2.1,0.54,0.1,0.3,0.25,1.1,1.8,0.582,0.556,0.1,0.3,0.5,1.0,1.3,2.3,0.2,0.7,0.7,0.4,0.9,2.5,maryland
Braden Pierce,C,5,0,7.2,1.0,1.8,0.556,0.0,0.2,0.0,1.0,1.6,0.625,0.556,0.4,0.8,0.5,0.8,1.6,2.4,0.6,0.2,0.4,0.2,1.8,2.4,maryland
Jayhlon Young,G,36,0,10.2,0.6,1.7,0.367,0.3,0.9,0.375,0.3,0.8,0.357,0.467,0.3,0.3,0.75,0.4,0.8,1.2,0.8,0.5,0.2,0.4,0.9,1.8,maryland
Malachi Palmer,G,22,0,8.4,0.6,1.8,0.333,0.3,1.0,0.273,0.3,0.8,0.412,0.41,0.2,0.4,0.444,0.2,1.1,1.4,0.3,0.1,0.0,0.1,1.1,1.6,maryland
Chance Stephens,G,7,0,5.3,0.4,1.7,0.25,0.4,1.7,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.3,maryland
Ben Murphy,G,10,0,2.0,0.1,0.3,0.333,0.1,0.1,1.0,0.0,0.2,0.0,0.5,0.4,0.6,0.667,0.1,0.3,0.4,0.2,0.2,0.0,0.2,0.2,0.7,maryland
