,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Team
0,Jaden Akins,3,SR,G,6-4,180.0,"Farmington, MI",Sunrise Christian Academy,48 (2021),"12.8 Pts, 3.5 Reb, 1.5 Ast",2025.html
1,Jase Richardson,11,FR,G,6-3,185.0,"Denver, CO",Bishop Gorman (NV); Columbus (FL),31 (2024),"12.1 Pts, 3.3 Reb, 1.9 Ast",2025.html
2,Tre Holloman,5,JR,G,6-2,180.0,"Minneapolis, MN",Cretin-Derham Hall (MN),80 (2022),"9.1 Pts, 1.9 Reb, 3.7 Ast",2025.html
3,Coen Carr,55,SO,F,6-6,220.0,"East Point, GA",Dutchtown (GA); Legacy Early College (SC),26 (2023),"8.1 Pts, 3.6 Reb, 0.5 Ast",2025.html
4,Jaxon Kohler,0,JR,F,6-9,240.0,"American Fork, UT",American Fork (UT); Southern California Academy (CA),45 (2022),"7.8 Pts, 7.5 Reb, 1.3 Ast",2025.html
5,Frankie Fidler,8,SR,F,6-7,200.0,"Bellevue, NE",Bellevue West HS,,"7.0 Pts, 3.3 Reb, 0.8 Ast",2025.html
6,Jeremy Fears,1,SO,G,6-2,190.0,"Joliet, IL",Joliet West (IL),34 (2023),"7.2 Pts, 2.1 Reb, 5.4 Ast",2025.html
7,Carson Cooper,15,JR,C,6-11,230.0,"Jackson, MI",Jackson Northwest (MI); Ypsilanti Prep (MI); IMG Academy (FL),,"5.0 Pts, 5.2 Reb, 0.6 Ast",2025.html
8,Xavier Booker,34,SO,F,6-11,220.0,"Indianapolis, IN",Cathedral (IN),13 (2023),"4.7 Pts, 2.2 Reb, 0.2 Ast",2025.html
9,Szymon Zapala,10,SR,C,6-11,240.0,"Zaborze, Poland",PZKosz WÅadysÅawowo (Poland),,"4.3 Pts, 4.0 Reb, 0.6 Ast",2025.html
10,Kur Teng,2,FR,G,6-4,190.0,"Manchester, NH",Bradford Christian (MA),50 (2024),"0.5 Pts, 0.7 Reb, 0.2 Ast",2025.html
11,Gehrig Normand,7,SO,G,6-5,190.0,"North Richland Hills, TX",Birdville (TX),83 (2023),"0.6 Pts, 0.1 Reb, 0.2 Ast",2025.html
12,Nick Sanders,20,JR,G,5-9,170.0,"Franklin, MI",Detroit Country Day (MI),,"0.8 Pts, 0.2 Reb, 0.0 Ast",2025.html
13,Jesse McCulloch,35,SO,F,6-10,,,,,,2025.html
14,Brennan Walton,40,SO,F,6-7,,,,,,2025.html
15,Colin Walton,43,SO,F,6-7,,,,,,2025.html
0,Derik Queen,25,FR,C,6-10,246.0,"Baltimore, MD",St. Frances Academy (MD); Montverde Academy (FL),14 (2024),"16.5 Pts, 9.0 Reb, 1.9 Ast",2025.html
1,Ja'Kobi Gillespie,0,JR,G,6-0,175.0,"Greeneville, TN",Greeneville (TN),,"14.7 Pts, 2.8 Reb, 4.8 Ast",2025.html
2,Rodney Rice,1,SO,G,6-4,195.0,"Clinton, MD",DeMatha Catholic (MD),56 (2022),"13.8 Pts, 2.2 Reb, 2.1 Ast",2025.html
3,Julian Reese,10,SR,F,6-9,230.0,"Baltimore, MD",St. Frances Academy,52 (2021),"13.3 Pts, 9.0 Reb, 1.3 Ast",2025.html
4,Selton Miguel,9,JR,G,6-4,210.0,"Luanda, Angola",West Oaks Academy,,"11.6 Pts, 1.9 Reb, 1.8 Ast",2025.html
5,Tafara Gapare,6,JR,F,6-9,205.0,"Wellington, New Zealand",South Kent School (CT),,"3.4 Pts, 1.9 Reb, 0.2 Ast",2025.html
6,DeShawn Harris-Smith,5,SO,G,6-5,215.0,"Woodbridge, VA",Paul VI (VA),30 (2023),"2.5 Pts, 2.4 Reb, 1.0 Ast",2025.html
7,Jordan Geronimo,22,SR,F,6-6,220.0,"Newark, NJ",St. Paul's HS,,"2.5 Pts, 2.3 Reb, 0.2 Ast",2025.html
8,Jayhlon Young,8,SR,G,6-2,175.0,"Dallas, TX",Garland (TX),,"1.8 Pts, 1.2 Reb, 0.8 Ast",2025.html
9,Malachi Palmer,7,FR,G,6-6,212.0,"Harrisburg, PA",Central Dauphin (PA); Hillcrest Prep (AZ); Mt. Zion Prep (MD),,"1.6 Pts, 1.4 Reb, 0.3 Ast",2025.html
10,Braden Pierce,4,SO,C,7-0,230.0,"Woodstock, GA",River Ridge (GA); IMG Academy (FL),,"2.4 Pts, 2.4 Reb, 0.6 Ast",2025.html
11,Chance Stephens,13,SO,G,6-3,185.0,"Riverside, CA",Riverside Poly (CA),,"1.3 Pts, 0.0 Reb, 0.0 Ast",2025.html
12,Ben Murphy,40,SR,G,6-1,193.0,"Reisterstown, MD",Franklin (MD),,"0.7 Pts, 0.4 Reb, 0.2 Ast",2025.html
13,Lukas Sotell,30,SO,G,6-3,170.0,"Stamford, CT",Stamford (CT),,"0.2 Pts, 0.3 Reb, 0.0 Ast",2025.html
14,Jahari Long,2,SR,G,6-5,,,,,,2025.html
0,Vladislav Goldin,50,SR,F,7-1,240.0,"Nalchick, Russia",Putnam Science Academy,,"16.6 Pts, 7.0 Reb, 1.1 Ast",2025.html
1,Danny Wolf,1,JR,F,7-0,255.0,"Glencoe, IL",Northfield Mount Hermon (MA),,"13.2 Pts, 9.7 Reb, 3.6 Ast",2025.html
2,Tre Donaldson,3,JR,G,6-2,190.0,"Tallahassee, FL",FSU High School (FL),,"11.3 Pts, 3.5 Reb, 4.1 Ast",2025.html
3,Roddy Gayle,11,JR,G,6-4,205.0,"Niagara Falls, UT",Lewiston-Porter (NY); Wasatch Academy (UT),54 (2022),"9.8 Pts, 3.4 Reb, 2.2 Ast",2025.html
4,Nimari Burnett,4,SR,G,6-4,195.0,"Chicago, IL",Prolific Prep,27 (2020),"9.4 Pts, 3.5 Reb, 1.5 Ast",2025.html
5,Will Tschetter,42,SR,F,6-8,230.0,"Stewartville, MN",Stewartville HS,,"6.4 Pts, 2.4 Reb, 0.6 Ast",2025.html
6,L.J. Cason,2,FR,G,6-2,190.0,"Lakeland, FL",Victory Christian (FL),,"4.3 Pts, 1.4 Reb, 1.0 Ast",2025.html
7,Rubin Jones,15,SR,G,6-5,184.0,"Houston, TX",Yates HS,,"3.6 Pts, 2.6 Reb, 1.3 Ast",2025.html
8,Sam Walters,24,SO,F,6-10,198.0,"The Villages, FL",Villages Charter School (FL),64 (2023),"5.0 Pts, 1.6 Reb, 0.6 Ast",2025.html
9,Justin Pippen,10,FR,G,6-3,180.0,"Chatsworth, CA",Sierra Canyon (CA),68 (2024),"1.6 Pts, 0.7 Reb, 0.6 Ast",2025.html
10,Phat Phat Brooks,8,FR,G,6-2,190.0,"Grand Rapids, MI",Grand Rapids Catholic Central (MI),,"0.8 Pts, 0.7 Reb, 0.2 Ast",2025.html
11,Harrison Hochberg,13,SO,F,6-7,225.0,"New York, NY",Fessenden School (MA); Suffield Academy (CT); Cushing Academy (MA),,"0.7 Pts, 0.2 Reb, 0.0 Ast",2025.html
12,Jace Howard,7,SR,G,6-7,210.0,"Miami, FL",University School,,"0.8 Pts, 1.2 Reb, 0.2 Ast",2025.html
13,Ian Burns,14,SR,G,6-6,200.0,"Winnetka, IL",New Trier HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",2025.html
14,Howard Eisley,5,FR,G,6-0,195.0,"New York, NY",Archbishop Stepinac (NY),,"0.0 Pts, 0.0 Reb, 0.0 Ast",2025.html
15,Charlie May,12,JR,G,6-5,190.0,"Boca Raton, FL",Saint Andrew's School (FL),,"0.0 Pts, 0.4 Reb, 0.0 Ast",2025.html
0,John Tonje,9,SR,G,6-5,222.0,"Omaha, NE",Omaha Central HS,,"19.6 Pts, 5.3 Reb, 1.8 Ast",2025.html
